서적명,작가명,출판사명,발행년도
Sobor Sofijski W Kijowie,Przewodnik,[  ],1987
The Capital of Sculptures,Zuezhan Wang,장춘출판사,2008
The Capital of Sculptures,Zuezhan Wang,장춘출판사,2008
christie's London :Post-War and Contemporary Day Sale,Auction,Auction,2003
Silent Power,Baselitz George,Michael Werner Gallery,2006
Haura :The Eloquent Media in Modern Japan - From Okaju collection,Art Juku,Art Juku,2008
중국미술대사기 =Chinese Fine Arts Chronicle,중국문사출판사,중국ㄱ문사출판사,2010
Passages :Swiss arts council prohelvetia,Pro Helvetia,Pro Helvetia,2014
Leonard Foujita,동경국립근대미술관,동경국립근대미술관,2006
Tokyo Opera City Art Gallery :Selected Works from the Permanent Collection,ArtGallery,Tokyo Opera City ArtGallery,1999
Picasso:Collection of the Hakone Open-Air Museum,Picasso,The Hakone Open-Air Museum,2003
Saburo Muraoka,Saburo Muraoka,National Museum of Modern Art,1998
彫刻の森美術觀 =The Hakone Open-air Museum 1969-1999,조각の삼미술관,彫刻の森美術觀,1999
김보현 =Po Kim,김보현,조선대학교미술관,2011
To Three Public information systems Placemaking and urban legibility,wx-design,Long Sea International book,2007
本鄕新記念札幌彫刻美術觀 =본향신기념찰황조각미술관,찰황조각미술관,찰황조각미술관,1981
YinXiaofeng's Art Works :Sculpture,YinXiaofeng,[  ],2001
Guidebook,조각の삼미술관,조각の삼미술관,2001
Guidebook,조각の삼미술관,조각の삼미술관,2001
Personal Structures Sympisium,Ludwig Museum,Ludwig Museum,2005
Zaha Hadid,Hadid Zaha,Guggenheim Museum,2006
Medicine and art :imagining a future for life and love :Leonardo da Vinci Okyo Damien Hirst,Arnold Ken,Mori Art Museum,2009
Sculpture inside outside,Friedman Martin,Walker Art Center,1988
Niki de Saint Phalle :my art my dreams,Saint-Phalle Niki de,Prestel,2003
Rirkrit Tiravanija :Untitled 2002 (the raw and the cooked),Tiravanija Rirkrit,Tokyo Opera City Cultural Foundation,2002
Saporo Sculpture Garden =야외미술관,Sapporo Municipal Government,Sapporo Art Park Foundation,1986
彫刻の森美術觀 =The Hakone Open-air Museum =조각의숲미술관,조각の삼미술관,조각の삼미술관,1989
Antonie Bourdelle 1861-1929,Bourdelle Antonie,북구주시미술관,2007
Inigo Jones :complete Architectural Drawings,Harris John,The Drawing Center,1989
Felix Gonzalez - Torres,Spector Nancy,GuggenheimMuseum,1996
Paul Klee Paintings and Watercolors from The Bauhaus Years 1921-1931,Klee Paul,,
Annuel Skira Annual,Skira,Skira,1978
Annuel Skira Annual,Skira,Skira,1978
Peter Paul Rubens:(the)drawings,Logan Anne-Marie S.,Metropolitan Museum of Art,2005
(The)art of drawing in France 1400-1900:drawings from the National Museum Stockholm,Bjurstr쮗m Per.,The Drawing Center,1987
Shigeko Kubota:video as a Form of Spiritual Collision with the World,Kubota Shigeko,American Museum of the Moving Image,1991
Drawings from Venice :masterworks from the Museo Correr Venice,Pignatti Terisio,Trefoil Books in association with the Drawing Cent,1985
Georges Braque :a life,Danchev Alex.,Arcade Distributed by Time Warner Book Group,2005
Joseph Beuys :early watercolors and drawings,Schade Werner.,Schirmer Art Books,2004
Sophie Calle :m'as-tu vue,Calle Sophie.,Prestel,2003
Photo icons :the story behind the pictures,Koetzle Hans-Michael.,Taschen,2008
Louise Bourgeois,Morris Frances,Rizzoli,2008
Painted clay :graphic arts and the ceramic surface,Scott Paul.,A & C Black,2001
페르난도 보테로 =Fernando Botero,국립현대미술관.,국립현대미술관,2009
The museum establishment and contemporary art :the politics of artistic display in France after 1968,DeRoo Rebecca J.,Cambridge University Press,2006
Matthew Barney :the Cremaster cycle,Spector Nancy.,Harry N. Abrams,2002
Mexico and Modern Printmaking,Ittann John,The Drawing Center,2007
Mark Rothko:A consummated experience between picture ane onlooker,Rothko Mark,Hatje Cantz Pulishers,2001
Kim Whanki:Vie et oeuvre Life and Work,Kim Whanki,Youl Hwa Dang,1992
Chichu Art Museum:Tadao Ando builds for Walter De Maria James Turrell and Claude Monet,Akimoto Yuji.,Hatje Cantz,2005
Francesco Vezzoli,Celant Germano,Progetto Prada Arte,2004
(The) Illusion of life :Disney animation,Johnston Ollie,Disney Editions,1981
Keith Haring,Deitch Jeffrey,Rizzoli,2008
An atlas of drawings :transforming chronologies,Prez Oramas Luis,Museum of Modern Art Distributed in the United Sta,2006
Christopher Wilmarth :drawing into sculpture,Saywell Edward.,Harvard University Art Museums,2003
Dorothea Tanning :early designs for the stage,Tanning Dorothea,Drawing Center,2010
Leon Golub :live & die like a lion?,Golub Leon,The Drawing Center,2010
Nathalie Djurberg Turn into me,Celant Germano,Progetto Prada Arte,2008
Iannis Xenakis :composer architect visionary,Xenakis Iannis,Drawing Center,2010
Postmodern art:from the post-war to today,Poli Francesco,Collins Design,2008
Gerhard Richter:drawings 1964-1999 :catalogue raisonne,Schwarz Dieter,Kunstmuseum WinterthurRichter,1999
Blackwell handbook of sensation and perception,Goldstein E Bruce,Blackwell Pub.,2005
La collection du Musee national d`art moderne :catalogu e,Musee national d`art moderne (France).,Editions du Centre Georges Pompidou,1987
Agua sintinosoy Water without you i'm not :3a Bienal De Valencia,Charta,Charta,2002
Naivety in Art,Setagaya Art Museum,Stagaya Art Museum,1986
Doug Aitken :New Ocean,Doug Aitken,Tokyo Opera City Art Gallery,2003
Piemonte Torino Design,Electa,Electa,2006
Jean-Charles Blais,Blais Jean-Charles,Centre Georges Pompiou,1987
Moulages du Musee du Louvre,Mreunion des Mudsees,Mreunion des Mudsees,
Kirchenburgen der Sachsen in Siebenburgen :The Saxon Fortified Churches of Transylvania,Loan Augustin,NOI,2004
Constuctivism :Origins and Evolution,Rickey George,George Braziller,1995
The 2nd Fujisankei Biennale :International Exhibition for Contemporary Sculpture the Utsukushi-ga-hara Open-Air Museum =제2회 후지산케이현대국제조각전,The Utsukushi-ga-hara Open-Air Museum,The Utsukushi-ga-hara Open-Air Museum,1995
Arnaldo Pomodoro :Luoghi Gondamentali,Pomodoro Arnaldo,Fabbri Editori,1984
Ralf Sander :Human-Transhuman,Sander Ralf,Just Art Galerie,2005
The Language of Sculpture,Tucker William,Thanes& Hudson,2005
Raymond Pettibon :Plots Laid Thick,Pettibon Raymond,Tokyo Opera City Art Gallery,2002
Dani Karavan :Time Space Meditation,Karavan Dani,The Museum of Modern Art,2004
Shadows of a Hand :The Drawings of Victor Hugo,Rodari Florian,The Drawing center,1998
Drawn from Artists' Collections,The Drawing Center,The Drawing Center,1999
Isamu Noguchi :A Study of Space,Torres Ana Maria,The Monacelli Press,2000
Sargent Portrait Drawings :42 Works by John Singer Sargent,Sargent,Dover Pub.,
Paolo di capua crescita di piante notturne,Capua Paolo Di,IE Young Contemporary Art Museum,2003
A Garden for Art :Outdoor Sculpture at the Hirshhorn Museum,Fletcher Valerie J,Hirshhorn Museum,1988
Embracing Light :iron,Aoki Noe,Hangil Art Pub.,2007
Debbie Han :The Eye of Perception,Han Debbie,trunk gallery,2010
Marta Pan,Pan Marta,Galerie Winter,2003
Eva Hesse Drawing,Zegher Catherine De,The Drawing Center,2006
Pop Sculpture :How to create action figures and collectible statues,Bruckner Tim,Watson Guptill,2010
Understanding Architecture Through Drawing,Edwards Brian,E&FN SPON,1994
Eva Hesse:sculpture,Sussman Elisabeth,Jewish Museum,2006
Cezanne to Picasso :Ambrois Vollard Patron of the Avant-Grade,Picasso,,
Criticizing Art :Understanding the Contemporary,Barrett Terry,Mayfield Pub.,1994
Criticizing Art :Understanding the Contemporary,Barrett Terry,Mayfield Pub.,1994
Art in Theory 1900-2000 :An Anthology of changing Ideas,Harrison Charles,Blackwell,2003
S M L XL :Small Medium Large Extra-Large Office for Metropolitan Architecture,Koolhaas Rem,Monacelli Press,1998
Sung Dong Hun,Sung Dong Hun,중견작가(Blue Book),2013
Mode Drawing :Nude(Male),Isao Yajima,Atorie,
David Hockney :Portraits,Hockney David,The Drawing Center,2007
Burkhard Held :Facescapes,Held Burkhard,Kunsthalle Mannheim,2007
Radical Reconstruction,Woods Lebbeus,Princeton Architectural Press,1997
Contemporary Erotic Drawing,Horodner Stuart,The Aldrich Contemporary Art Museum,2005
Masterdrawings of Otto Wagner,Wagner Ottp,The Drawing Center,1987
(The)art of Korea:highlights from the collection of San Francisco's Asian Art Museum,Asian Art Museum of San Francisco,Asian Art Museum of San Franscisco,2006
Vincent van Gogh:the drawings,Gogh Vincent van,Metropolitan Museum of Art,2005
Tod Und Feuer :Death and Fire - Paul Klee,Klee Paul,Sprengel Museum Hannover,2003
Tai-Jung Um:skulpturen und zeichnungen = sculptures and drawings,Um Tai-Jung.,Hatje Cantz,2005
Paul Klee :The Nature of Creation,Klee Paul,Hayward Gallery,2002
(Aristide)Maillol,Lorquin Bertrand.,Skira,2002
Joan Mitchell :Pastel,Mitchell Joan,Robert Miller Gallery,1994
Human Anatomy & Figure Drawing :The Integration of Structure and Form,Kramer Jack N,Van Nostrand Reinhold Company,
In the Mountains of Japan :The Open-Air Museums of Hakone and Utsukushi-Ga-Hara,Hunter Sam,Abbeville Press,
In the Mountains of Japan :The Open-Air Museums of Hakone and Utsukushi-Ga-Hara,Hunter Sam,Abbeville Press,
Kinetic :Sculpture - A Retrospective,Rickey George,Vero Beach Museum of Art,2007
Yongnam Park,박영남,Ganaart,2006
Picasso's <Parade> :From street to stage,Picasso,The Drawing Center,1991
PICASSO :In the Metropolitan Museum of Art,Picasso,The Metropolitan Museum of Art,2010
Afterimage :Drawing Through Process,Butler Cornelia H,The MIT Press,1999
마크 로스코 :숭고의 미학 =The Art of Mark Rothko,로스코 마크,삼성미술관 리움,2006
Christo and Jeanne-Claude:the Wurth Museum collection,Ronte Dieter.,Philip Wilson,2004
로버트 인디애나=Robert Indiana:living legend,인디애나 로버트,서울시립미술관,2006
Richard Serra :Weight and Measure Drawings,Shiff Richard,The Drawing Center,1994
In the Street :Chalk Drawings and Messages - New York City 1938~1948,Levitt Helen,Lindhurst book,2002
Francis Bacon :Working on Paper,Gale Mattew,Tate,1990
Drawing and Perceiving :Life Drawing for Students of Architecture and Design,Cooper Douglas,Wiley,2001
Ralf Sander with 249 illustration 160 in colour,WSM,World Saving Machine,2009
Hand to Earth :Sculpture 1970-1990,Goldsworthy Andy,Harry N.Abrams,1990
Airan kang,강애란,에이앤에이,2000
INFINITE PISSIBILITIES :Serial Imagery in 20th-century Drawings,Davis Museum,Wellesley,2004
Cultural Economies :Histories from the Alternative Arts Movement NYC,Ault Julie,The Drawing Center,1996
Theatre on paper,Schouvaloff Alexander,The Drawing Center,1990
(Degas)Drawing of Dancers :47 Works,Degars Edgar,Dover Pub.,1999
Light and Shadow in Drawing,Barron's,Barron,2005
The northern landscape :Flemish Dutch and British Drawings from the Courtauld collections,Farr Dennis,The Drawing Center,1986
New Media Art,Tribe Mark,taschen,2009
Eternidad En Los Andes :Memorias de Marina Nunez Del Prado,Prado Marina Nunez del,[  ],1959
Grau-Garriga,Garriga Grau,Casa pairal,
Ken Unsworth,Unsworth Ken,Bookman Schwartz,1998
Ranbir Kaleka,Kaleka Ranbir,Volte Gallery,2012
Line and Shading in Drawing,Barron's,Barrons,2005
History of DOKDO :獨島の歷史=독도의 역사.,Dokdo School,The Independence Hall of Korea,2013
History of DOKDO =독도의 역사. :,Dokdo School,The Independence Hall of Korea,2013
Drawing Lessons from the Great Masters,Hale Robert Beverly,Watson-Guptill Pub.,1989
Frank Lloyd Wright :Between Principle and form,Laseau Paul,John Wiley & Song,1992
Experimental Drawing,Kaupelis Robert,Watson-Guptill Pub.,1992
The Drawing Book :a Survey of drawing - the primary means of expression,Kovats Tania,black dog publishing,2007
Forty masterpieces of 20th century drawing & painting from India Pakistan Bangladesh & Sri Lanka,Tuli Neville.,Grantha Corporation 80 Cliffedgeway Middletown NJ,2003
MoMa highlights since 1980:250 works from the Museum of Modern Art New York,Museum of Modern Art New York,Museum of Modern Art,2007
(The)Stage of drawing:gesture and act : selected from the Tate Collection,Newman Avis.,Tate Pub.,2003
Sculptor's Drawings :Over Six Centuries 1400-1950,Eisler Colin,Agrinde Publications,
Tate mordern:(the)handbook,Morris Frances,Tate,2001
Drawings : Life drawing,구자승,연두와파랑,2009
Rosemarie Trockel Post-Menopause,Trockel Rosemarie,Museum LUDWIG,2005
Pablo Picasso His Passion:피카소의 열정,피카소 파블로,63스카이아트 미술관,2010
American Art,O'Mahony Mike,Flame tree Publishing,2006
The Rothko Book,Rothko Mark,TATE,2006
Bar None - Bar All :Reading Beyond Barcodes,Jheon Soocheon,Ganaart,2008
Modern Art :Impressinism to post-Modernism,Britt David,Thames&Hudson,2010
KLEE,Klee,Taschen,2003
Inside Out,Kurten Stefan,Artspace books,2006
Dictuinary of American Art and Artists,Morgan Ann Lee,Oxford University Press,2007
Joan Miro:1780-1867,Mink Janis,Taschen,2006
Pop art,Honnef Klaus,Taschen,2006
Kiki Smith :a gathering 1980-2005,Engberg Siri.,Walker Art Center,2005
Tribeca Talks,Prada Fondazione,Progetto Prada Arte,2004
Illustrations from the Inside :The Beat within,Nevaer Louis EV,Mark batty pub.,2007
Seven Days in the Art World :걸작의 뒷모습,Thornton Sarah,Norton,2009
The Arts and the Creation of Mind,Eisner Elliot W,The Drawing Center,2002
Cast Drawing :Using the Sight-Size Approach,Rousar Darren R,Velatura Press LLC,2007
Drawing Relationships in Northern Italian Renaissance Art :Pattonage and Theories of Invention,Periti Giancarla,Ashgate Publishing,2004
Art After Concoptual Art,Alberro Alexander,The MIT Press,2006
Space Out,Kotoulas Sotirios,SpringerWien,2005
Interaction of Color =색채의 상호작용,Albers Josef,The Drawing Center,2006
ART NOW :the new directory to 81 international contemporary artists,Grosenick Uta,TASCHEN,2008
Media Skin :Visual Identity - Seoul Square,양만기,Media Skin Creative Studio,2010
The Natural Way to Draw,Nicolaides Kimon,Houghton Mifflin Company,1969
The Natural Way to Draw,Nicolaides Kimon,Houghton Mifflin Company,1969
the age of Feminine Drawing,Allrignt reserved Publishing,AllRightsReserved Ltd.,2007
3 x abstraction :New Nethods of drawing,Klint Hilma af,The Drawing Center,2005
베르나르 브네 :페인팅 1961-2011=Bernar Venet : Paintings 1961-2011.A Retrospective,브네 베르나르,서울시립미술관,2011
베르나르 브네 :페인팅 1961-2011=Bernar Venet : Paintings 1961-2011.A Retrospective,브네 베르나르,서울시립미술관,2011
일제강점기 시각매체와 조선미술전람회 연구 :근대의 시각주체와 규율권력을 중심으로 =(A) study on visual media under occupation period of Japanese imperialism and Joseon art exhibition : focused on moder,안현정,成均館大學校,2009
雜書(잡서),박승예,서울문화재단,
(의거·순국 100년) 安重根 獨立을 넘어 平和로,안중근의사숭모회,예술의전당,2009
韓國近代美術의 歷史=(The)history of Korean modern art:韓國美術歷事典 1800-1945,최열,悅話堂,2006
韓國近代美術의 歷史=(The)history of Korean modern art:韓國美術歷事典 1800-1945,최열,悅話堂,2006
(유홍준 영상강좌)한국미술사 :조선시대의 회화 2 - 강의자료 3집,유홍준,학전,
(유홍준 영상강좌)한국미술사 :조선시대의 회화 1 - 강의자료 2집,유홍준,학전,
클레 회화에 나타난 음악적 모티브,우혜수,이화여자대학교,1995
(4324)韓國美術年鑑(資料篇)=ART ANNUAL 1991:,한국미술연감사,한국미술연감사,1991
(4324)韓國美術年鑑(名鑑篇)=ART ANNUAL 1991:,한국미술연감사,한국미술연감사,1991
Lee Jong-Sang,Le Ca,Le Carrousel du Louvre,1998
Selected eMerging Artists :SeMA 2006,서울시립미술관,서울시립미술관,2006
2010 SeMA YOUNG ARTISTS : SEMA 신진작가 전시지원 프로그램 =2010 SeMA,서울시립미술관,서울시립미술관,2010
2010 SeMA YOUNG ARTISTS : SEMA 신진작가 전시지원 프로그램 =2010 SeMA,서울시립미술관,서울시립미술관,2010
2009 SeMA YOUNG ARTISTS : SEMA 신진작가 전시지원 프로그램 =2009 SeMA,서울시립미술관,서울시립미술관,2009
Choi Ki Seog,최기성,갤러리 2 에디션,2011
한국 디자인 연감 1997,선완규,디자인하우스,1997
(2014)아시아 대학생·청년작가 미술축제 :미래와 만나다 =2014 Asian students and young artists art festival :,조선일보사,조선일보사,2014
Kira Kim :media installations. video works Photographys 2001-2005,Kim Kira,[Kira Kim],2005
고암논총=Goam essays,이응노미술관,이응노미술관,2015
(2012년) 사진연감 & Seoul Photo 2013,COEX,FOTASIACOEX,2013
寫眞年鑑 =photography yearbook :2011,COEX,COEX FOTASIA,2012
warming and Humidifying,Rhii Jewyo,광주신세계갤러리,2002
Kim Eull Drawings 50=김율 드로잉,김율,백해영갤러리,2005
앤디 워홀 일기=Andy Warhl Diaries,워홀 앤디,미메시스,2009
Contemporary Art & The Olympics =현대미술과 올림픽,신길균,로이드신미술관,1988
환경조각=Environment and sculpture,최병상,美術公論社,1990
miscellaneous drawings :Kim eull,김율,[김율],2006
김연태 드로잉 :Kim Yeon tae Drawing 2004-2006,김연태,로얄프로세스,2006
컨템포러리 아트란 무엇인가,스미스 테리,마로니에북스,2013
예술 발견!:창의적 삶을 위한 미술 프로젝트,슐츠 프랑크,미술문화,2013
창작과 인용 :현대미술의 쟁점시리즈 1 =Creation and Citation,현대미술관,무역센터 현대미술관,1992
(Seoul national university) architectural review =서울대학교 건축학과 리뷰지 :2011-2012,서울대학교.,서울대학교 공과대학 건축학과,2013
GOYA:프란시스코 고야,열화당편집부,열화당,1994
MICHELANGELO:미켈란젤로 주오나로티,열화당편집부,열화당,1994
Picasso:파블로 피카소,열화당편집부,열화당,1991
VERMEER=요하네스 베르메르,열화당편집부,열화당,1994
램브란트:하르멘스존 반 레인=REMBRRANDT,열화당편집부,열화당,1994
BOTTICELLI:산드로 보티첼리,열화당편집부,열화당,1992
C´ezanne:폴 세잔느,열화당편집부,열화당,1993
Korean Art Guide :games of the XXIVth Olympiad Seoul 1988,Seoul Olympic Organizing commitee,Seoul Olympic Organizing commitee,1987
로버트 인디애나=Robert Indiana:living legend,인디애나 로버트,서울시립미술관,2006
1900년 이후의 미술사:모더니즘 반모더니즘 포스트모더니즘,포스터 할,세미콜론,2011
미술사전.,숭례문 편집부,숭례문,1991
미술사전.,숭례문 편집부,숭례문,1991
류인철의 환경디자인 이야기,류인철,이서원,2013
더아트로 2014 =(The) Artro,예술경영지원센터,예술경영지원센터 The Artro,2014
Pohang steel art festival= 포항 스틸아트 페스티벌,포항스틸아트페스티벌 운영위원회,포항스틸아트페스티벌 운영위원회,2014
2014년도 미술시장실태조사 =Survey on the art market 2014 :2013년 기준,문화체육관광부,생각쉼표 휴먼컬처아리랑,2015
한국미술 전시공간의 역사,김달진미술자료박물관,김달진미술자료박물관,2015
(2013-2014) 서울시 창작공간 금천예술공장 =2013-2014 Seoul art space Geumcheon,서울문화재단,서울문화재단,2014
Koreastyle,Iwatate Marcia,Tuttle,2007
이철주 =LEE CHEOL JOO,이철주,결,2007
(Art cosmos) 문혜자 =Moon hye ja,문혜자,서문당,2012
쇳대,쇳대박물관,쇳대박물관,2004
레이어즈 디멘션스 :박종규 1994~2009 =Layers dimensions : Jong Kyu Park 1994~2009,박종규,갤러리신라,2009
A Nomade who gets lost in the Labyrinth of Life,최성철,의정부예술의전당,2013
A Nomade who gets lost in the Labyrinth of Life,최성철,의정부예술의전당,2013
Kim Hyunsook Portfolio,김현숙,[김현숙],2010
YUN SUKNAM,윤석남,학고재갤러리,2018
올해의 작가 2008  장연순 =Artist of the year 2008 Chang Yeon Soon,장연순,에이앤에이,2008
한일 현대판화의 구상전 =The Meditation of Master's Contemporary Print from Korea-Japan,마가미술관,마가미술관,2006
Julian Schnabel :Prints Retrospective 1983-present,슈나벨 줄리안,워터게이트갤러리,2009
기산 정명희 : 금강일기,정명희,정명희미술관,2013
심수구=Shim Soo-koo,골프존문화재단,박영덕화랑,2013
심수구=Shim Soo-koo,골프존문화재단,박영덕화랑,2013
(2007)헤이리 아시아 청년작가 프로젝트 =Asian Young Artists in Heyri,헤이리예술마을조직위원회,헤이리예술마을,2007
화중화 :서울여자대학교박물관 개관10주년 기념 특별전시회,서울여자대학교박물관,서울여자대학교 박물관,2008
Sense & Feeling:시각장애인을위한섬유미술전시회,마가미술관,마가미술관,2007
우리 도자기:천년의 슬기와 솜씨,이영준,예뿌리민속박물관,2008
김주석 展 :휴머니즘의 정신,김주석,경남도립미술관,2007
김주석 展 :휴머니즘의 정신,김주석,경남도립미술관,2007
도자 재현과 변용 :현대도자기 특별전,고려대학교박물관,고려대학교박물관,2007
도자 재현과 변용 :현대도자기 특별전,고려대학교박물관,고려대학교박물관,2007
서울-시드니:현대 한국.호주 판화전 =Seoul-Sydney :Contemporary korean and Australian Prints,현대미술공간C21,현대미술공간C21,2015
위 아래를 보다 :김정은 개인전,김정은,가람미술,
유정혜 :Memorable Moment 2012-2014=Yoo Joung Hye : draw dye and weave,유정혜,비따,2014
베르나르 포콩 =Bernard Faucon,고은문화재단,고은문화재단,2013
김혜련 =Heryun Kim :Drawings,김혜련,금산갤러리,2007
Pohang steel art festival= 포항 스틸아트 페스티벌,포항스틸아트페스티벌 운영위원회,포항스틸아트페스티벌 운영위원회,2013
(2014)아시아 대학생·청년작가 미술축제 :미래와 만나다 =2014 Asian students and young artists art festival :,조선일보사,조선일보사,2014
크라프트 드림 2014 :식사용품과 차도구 =Craft dream 2014 : tools for dinner and tea,유리지공예관,유리지공예관,2014
조각가의 드로잉=Sculptors' drawing,소마미술관,소마미술관,2011
인간 그리고 실존 :Human and the Existence,김영원,김종영미술관,2013
그림책 그림 :한국 그림책 작가 20인 원화전,전북도립미술관,전북도립미술관,2008
쇳가루 산수화 :2014 오늘의 작가 김종구 =Monologue 6000 Letters of Iron Powder,김종구,김종영미술관,2014
공공의 장소 :우리가 함께하는 그곳 =Public places : here and now,권미옥,클레이아크김해미술관,2014
(한국현대조각의 선구자) 김종영,김종영,덕수궁미술관,2005
Out of Blue,고낙범,다빈치,2003
삶과 창조의 지평 :한국 최초의 추상미술가 유영국,오광수,마로니에북스,2012
임정은:Jeoungeun Lim,임정은,[발행처불명],2005
Sungyeon Park :humming for days,박성연,Yeon books,2012
현대미술 공간산책 :김재관 교수 정년퇴임기념 비평적에세이 =Promenade of contemporary art space : Jai-Kwan Kim critical essay,아트블루,아트블루,2011
Sculpt my life :Park ok soon,박옥순,하얀울타리,2011
삶과 문화를 담은 도자기,해강도자미술관,해강도자미술관,2006
현대미술사전,듀로조이제라르,도서출판 아르떼,1994
남도문인화의 흐름을 찾아서=Searching the trend of the painting in the literary artist's style in Honam area,남포미술관,남포미술관,2006
(꿈과 믿음과 희망이 담겨있는)남도민화,도립전라남도옥과미술관,옥과미술관,2000
조선시대 선비와 머슴사이 =Literary man and Farm hand servant,사람박물관얼굴,얼굴박물관,
조선시대 선비와 머슴사이 =Literary man and Farm hand servant,사람박물관얼굴,얼굴박물관,
기억의 고집 - 빈 그릇 달을 닮은 항아리,문화체육관광부,문화체육관광부,2010
옹기!그힘과 울림,스페이스몸미술관,스페이스몸미술관,2006
전통의 손이 빚은 공예의 숨결,전라도립미술관,전라도립미술관,2010
최만린 드로잉 :모란미술관 특별기획전 =Choi Man Lin Drawing,최만린,모란미술관,2011
집을 생각하다 =House & Home,클래이아크김해미술관,김해미술관,2011
꿈의공장 알레시 :The Dream Factory,알레시 알베르토,예세,2003
Sungyeon Park :humming for days,박성연,Yeon books,2012
Calder :움직이는 조각 알렌산더 칼더,칼더 알렉산더,삼성미술관 Leeum,2013
Pohang steel art festival= 포항 스틸아트 페스티벌,포항스틸아트페스티벌 운영위원회,포항스틸아트페스티벌 운영위원회,2012
로베르 콩바스:Savoir-faire=Robert Combas : Savoir-faire,콩바스 로베르,서울시립박물관,2006
至心歸命禮 - 織·染·繡 그리고 佛敎=Special exhibition by virtue of the finest threads,수덕사.,수덕사 근역성보관,2006
인터뷰=Interview & artists as an interviewer,아르코미술관,한국문화예술위원회 아르코미술관,2011
작가들의 방 :Drawing - the Room of Artists,강효연,at Topohaus,2010
Video Art Network Forum 2009 (영어)=비디오아트의 배급과 아카이빙 공간 간의 공유,숭실대학교,숭실대학교,2009
Video Art Network Forum 2009 (한국어)=비디오아트의 배급과 아카이빙 공간 간의 공유,숭실대학교,숭실대학교,2009
이일호 =Lee Il ho : 조각가의길,이일호,인사아트센터,2010
Seurat:조르쥬 피에르 쇠라,쇠라 조르뉴 피에르,열화당,1993
김을 드로잉 =Kim Eull Drawings 2002-2004,김을,Gallary Fish,2004
최만린 =Choi Man Lin : a retrospective,최만린,국립현대미술관,2014
생명과 명상의 조각 김영원 =(The) sculpture of superconsciousness and life Kim Young Won,김영원,경남도립미술관,2011
생명과 명상의 조각 김영원 =(The) sculpture of superconsciousness and life Kim Young Won,김영원,경남도립미술관,2011
Tai-Jung Um =엄태정 :Sculpture and drawing,엄태정,성곡미술관,2009
국제조각교류전 및 제15회 한국조각가협회전,한국조각가협회,한국조각가협회,1999
홍학순,홍학순,,
황연주,황연주,,
고산금,고산금,,
구민자,구민자,,
정헌조,정헌조,,
정혜진,정혜진,,
주정아,주정아,,
최경주,최경주,,
최은정,최은정,,
이현배,이현배,,
임선희,임선희,,
임태규,임태규,,
전소정,전소정,,
전소진,전소진,,
이윤미,이윤미,,
이윤정,이윤정,,
이지영,이지영,,
이재헌,이재헌,,
최영재,최영재,,
한혜선,한혜선,,
황보경,황보경,,
강영민,강영민,,
정재호,정재호,,
조남현,조남현,,
조란향,조란향,,
조현성,조현성,,
차영석,차영석,,
이해민선,이해민선,,
이혜인,이혜인,,
이호진,이호진,,
임선이,임선이,,
임춘희,임춘희,,
이강원,이강원,,
이대일,이대일,,
이승희,이승희,,
이재순,이재순,,
이진희,이진희,,
신진호,신진호,,
심정은,심정은,,
안재홍,안재홍,,
위영일,위영일,,
윤여범,윤여범,,
변재언,변재언,,
송명진,송명진,,
송준호,송준호,,
신수진,신수진,,
이영민,이영민,,
이우성,이우성,,
이정배,이정배,,
허윤희,허윤희,,
이미정,이미정,,
이상은,이상은,,
이선주,이선주,,
소우정,소우정,,
송영희,송영희,,
안현곤,안현곤,,
오미현,오미현,,
윤상열,윤상열,,
민재영,민재영,,
박관택,박관택,,
박미경,박미경,,
박혜수,박혜수,,
배상순,배상순,,
김선희,김선희,,
김시연,김시연,,
김진희,김진희,,
모준석,모준석,,
강해인,강해인,,
권구희,권구희,,
김기훈,김기훈,,
김미련,김미련,,
김수환,김수환,,
박성연,박성연,,
변시제,변시제,,
성민화,성민화,,
안세은,안세은,,
연기백,연기백,,
김신혜,김신혜,,
김송이,김송이,,
김순임,김순임,,
김유정,김유정,,
김지아나,김지아나,,
나현,나현,,
강동구,강동구,,
권혁,권혁,,
김명진,김명진,,
김미란,김미란,,
김병호,김병호,,
조애리,조애리,,
차혜림,차혜림,,
최혜인,최혜인,,
허남준,허남준,,
이단,이단,,
전윤정,전윤정,,
전지혜,전지혜,,
정경희,정경희,,
정아롱,정아롱,,
이지은,이지은,,
이지희,이지희,,
이진,이진,,
이현아,이현아,,
전지민,전지민,,
이두현,이두현,,
이상민,이상민,,
이지연,이지연,,
정주미,정주미,,
허구영,허구영,,
오경아,오경아,,
오미현,오미현,,
오민정,오민정,,
윤가림,윤가림,,
윤성지,윤성지,,
김순철,김순철,,
김현정,김현정,,
김홍식,김홍식,,
배성희,배성희,,
최은정,최은정,,
James Umland,Umland James,,
Kathleen King,King Kathleen,,
강진영,강진영,,
김도경,김도경,,
전경화,전경화,,
정명국,정명국,,
정유미,정유미,,
조미영,조미영,,
조원희,조원희,,
오은정,오은정,,
윤소림,윤소림,,
이경하,이경하,,
임재영,임재영,,
장형선,장형선,,
한조영,한조영,,
Cnaani Avital,Avital Cnaani,,
권구희,권구희,,
권리연,권리연,,
김영섭,김영섭,,
차경화,차경화,,
차소림,차소림,,
차승언,차승언,,
최은혜,최은혜,,
한지석,한지석,,
