동호회명,시도명,시군구명,종목명,소속그룹명,종목분류명,성별구분명,회원수,설립일자
경북영주시베스트FC,경상북도,경상북도 영주시,축구,체육동호인조직,15세이하부,혼성,16,2022-05-24
경북영주시보름골영광고FC,경상북도,경상북도 영주시,축구,체육동호인조직,18세이하부,혼성,14,2022-05-24
경북영주시봉현FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,33,2022-04-06
경북영주시부석FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,21,2022-05-24
경북영주시삼백유소년축구클럽,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,22,2022-05-24
경북영주시설송,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,13,2022-05-24
경북영주시소나무FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,30,2022-12-30
경북영주시소백산FCU10,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,7,2022-05-24
경북영주시소백산FCU12,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,9,2022-05-24
경북영주시스노우파인,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,10,2023-06-29
경북영주시에이스FC,경상북도,경상북도 영주시,축구,체육동호인조직,15세이하부,혼성,17,2023-06-29
경북영주시엘오엘,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,13,2023-06-29
경북영주시여성축구단,경상북도,경상북도 영주시,축구,체육동호인조직,실업(일반),혼성,14,2023-03-31
경북영주시영육FC,경상북도,경상북도 영주시,축구,체육동호인조직,실업(일반),혼성,15,2022-04-18
경북영주시영주엘오엘,경상북도,경상북도,축구,체육동호인조직,12세이하부,혼성,10,2024-05-30
경북영주시영주여자축구,경상북도,경상북도,축구(풋살),체육동호인조직,실업(일반),혼성,13,2024-03-21
경북영주시영주유소년FC,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,18,2022-05-24
경북영주시영주축구회,경상북도,경상북도 영주시,축구,체육동호인조직,실업(일반),혼성,28,2022-05-24
경북영주시예천FC,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,5,2022-05-24
경북영주시이글스FC,경상북도,경상북도 영주시,축구,체육동호인조직,15세이하부,혼성,13,2022-05-24
경북영주시일심조기축구회,경상북도,경상북도 영주시,축구,체육동호인조직,실업(일반),혼성,12,2022-04-06
경북영주시제일FC,경상북도,경상북도 영주시,축구,체육동호인조직,18세이하부,혼성,18,2022-05-24
경북영주시청룡FC,경상북도,경상북도 영주시,축구,체육동호인조직,18세이하부,혼성,17,2022-05-24
경북영주시청심FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,16,2022-05-24
경북영주시청운조기축구회,경상북도,경상북도 영주시,축구,체육동호인조직,실업(일반),혼성,26,2022-04-06
경북영주시패밀리FC,경상북도,경상북도 영주시,축구,체육동호인조직,12세이하부,혼성,9,2023-06-29
경북영주시풍기FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,13,2022-05-24
경북영주시하나축구회,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,23,2022-04-06
경북영천시SM축구회,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,28,2022-05-24
경북영천시강중FC,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,50,2022-08-08
경북영천시독도,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,20,2022-08-08
경북영천시돌고래KFC,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,26,2022-08-08
경북영천시별빛클럽,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,15,2022-05-24
경북영천시스타50FC,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,12,2023-06-29
경북영천시스타FC,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,34,2022-08-08
경북영천시신영천,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,26,2022-08-08
경북영천시영도축구회,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,25,2022-05-24
경북영천시영천버팔로FC,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,37,2022-08-08
경북영천시영천유소년FC,경상북도,경상북도,축구,체육동호인조직,12세이하부,혼성,25,2024-05-17
경북영천시위너유나이티드FC,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,40,2022-05-24
경북영천시조광조기회,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,35,2022-05-24
경북영천시조은클럽,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,22,2024-04-04
경북영천시창공FC,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,17,2022-05-24
경북영천시한울축구클럽,경상북도,경상북도 영천시,축구,체육동호인조직,실업(일반),혼성,22,2022-08-08
경북예천군예천FC,경상북도,경상북도 예천군,축구,체육동호인조직,실업(일반),혼성,73,2022-04-18
경북예천군호명제일FC,경상북도,경상북도 예천군,축구,체육동호인조직,실업(일반),혼성,21,2023-03-31
경북우슈생활체육동호회,경상북도,경상북도 구미시,우슈,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-10-22
경북울릉군UBC,경상북도,경상북도 울릉군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-11-08
경북울릉군독도수비대,경상북도,경상북도 울릉군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-06-14
경북울릉군볼보이즈,경상북도,경상북도 울릉군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-11
경북울릉군쿨잼스,경상북도,경상북도 울릉군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-04-19
경북울진군고스트FC,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,17,2023-04-18
경북울진군매봉클럽,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,56,2022-04-06
경북울진군실버축구단,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,9,2022-08-08
경북울진군왕피천FC,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,60,2022-04-18
경북울진군월변FC,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,47,2022-04-06
경북울진군유파워스,경상북도,경상북도 울진군,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,28,2024-03-30
경북울진군유파워스,경상북도,경상북도 울진군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-10-18
경북울진군죽변FC,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,45,2022-04-06
경북울진군청춘FC,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,33,2022-04-06
경북울진군킹스톤,경상북도,경상북도 울진군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-10-17
경북울진군킹스톤,경상북도,경상북도 울진군,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-04-01
경북울진군태광,경상북도,경상북도 울진군,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,24,2024-04-01
경북울진군태광,경상북도,경상북도 울진군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-10-18
경북울진군태성,경상북도,경상북도 울진군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-10-12
경북울진군파이어,경상북도,경상북도 울진군,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,20,2024-03-27
경북울진군파이어,경상북도,경상북도 울진군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-08-19
경북울진군평해FC,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,41,2022-04-06
경북울진군후포FC,경상북도,경상북도 울진군,축구,체육동호인조직,실업(일반),혼성,16,2022-04-18
경북의성군가음테이커스,경상북도,경상북도 의성군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-04-25
경북의성군리틀야구단,경상북도,경상북도,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,3,2024-03-26
경북의성군봉양위너스,경상북도,경상북도 의성군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-04-28
경북의성군아사천,경상북도,경상북도 의성군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-04-25
경북의성군안계고스트,경상북도,경상북도 의성군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-04-26
경북의성군의성군청진야구단,경상북도,경상북도 의성군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-04-26
경북의성군의성마늘목장야구단,경상북도,경상북도 의성군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-04
경북의성군의성어벤져스,경상북도,경상북도 의성군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-03
경북일반,경상북도,경상북도 포항시북구,사격,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2022-03-04
경북철인3종협회(생활체육),경상북도,경상북도 안동시,철인3종,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,13,2024-03-21
경북청도군리틀야구단,경상북도,경상북도,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,12,2024-03-26
경북청도군한마음조기회,경상북도,경상북도 청도군,축구,체육동호인조직,실업(일반),혼성,37,2023-06-29
경북청도군한맥,경상북도,경상북도 청도군,축구,체육동호인조직,실업(일반),혼성,30,2022-08-08
경북청송군진성클럽,경상북도,경상북도 청송군,축구,체육동호인조직,실업(일반),혼성,19,2022-08-08
경북청송군청송OB축구단,경상북도,경상북도 청송군,축구,체육동호인조직,실업(일반),혼성,21,2022-08-08
경북청송군청송군청블루드래곤즈,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,48,2022-08-08
경북청송군청송슛클럽,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,23,2022-08-08
경북칠곡군FC왜관,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,35,2022-04-06
경북칠곡군FLEXBAXEBALL,경상북도,경상북도 칠곡군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-07-19
경북칠곡군GS풋볼,경상북도,경상북도,축구(풋살),체육동호인조직,12세이하부,혼성,9,2024-03-21
경북칠곡군K브라더스,경상북도,경상북도 칠곡군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-06-10
경북칠곡군MAGPIES,경상북도,경상북도 칠곡군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-11
경북칠곡군강변축구단,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,44,2022-04-06
경북칠곡군구미아트야구단,경상북도,경상북도 칠곡군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-07-28
경북칠곡군기산FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,25,2022-04-18
경북칠곡군석적FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,23,2022-04-06
경북칠곡군숭산FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,34,2022-04-06
경북칠곡군아르테미스,경상북도,경상북도 칠곡군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-06-14
경북칠곡군여성축구단,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,29,2022-04-06
경북칠곡군여학생FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,12세이하부,혼성,24,2022-08-08
경북칠곡군왜관푸르너스FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,50,2022-04-18
경북칠곡군유학FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,11,2023-03-31
경북칠곡군칠곡FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,19,2022-04-18
경북칠곡군칠곡FCU15,경상북도,경상북도 칠곡군,축구,체육동호인조직,15세이하부,혼성,14,2023-06-29
경북칠곡군칠곡경찰서축구팀,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,11,2023-03-31
경북칠곡군칠곡군여학생중등부FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,15세이하부,혼성,6,2022-08-08
경북칠곡군칠곡군청,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,26,2023-06-29
경북칠곡군칠곡라온60FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,13,2023-06-29
경북칠곡군하야로비,경상북도,경상북도 칠곡군,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-08-06
경북칠곡군호이FC,경상북도,경상북도 칠곡군,축구,체육동호인조직,실업(일반),혼성,27,2023-03-31
경북카이트보딩클럽,경상북도,경상북도 포항시남구,요트,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,7,2022-04-14
경북탁구협회A_안동,경상북도,경상북도 안동시,탁구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,59,2024-03-21
경북테니스협회,경상북도,경상북도 포항시남구,테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,47,2022-06-14
경북테니스협회,경상북도,경상북도 포항시 남구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2020-05-04
경북포항남구리틀야구단,경상북도,경상북도,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,12,2024-03-26
경북포항시27,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,44,2022-04-06
경북포항시64클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,30,2023-03-31
경북포항시FCLABS,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,25,2022-04-06
경북포항시FC코리아,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,19,2023-03-31
경북포항시경북포항시헤이데이FC,경상북도,경상북도,축구,체육동호인조직,12세이하부,혼성,27,2022-12-30
경북포항시나인스타즈,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-08-12
경북포항시낙천FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,28,2022-08-08
경북포항시뉴포항유나이티드FC,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,28,2023-08-03
경북포항시독도,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,26,2022-04-06
경북포항시돌멩이,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,29,2022-04-06
경북포항시동부축구클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,49,2022-04-06
경북포항시라온클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,21,2022-05-24
경북포항시리치축구클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,24,2022-05-24
경북포항시맥천,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,21,2023-03-31
경북포항시부활야구단,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-09
경북포항시블루호크,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,2021-08-10
경북포항시빌더스,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-08-10
경북포항시스나이퍼,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,2021-05-04
경북포항시스타상록,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,68,2022-04-06
경북포항시시나브로,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-04
경북포항시쌍마,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,34,2022-05-24
경북포항시아우토반,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,19,2022-08-08
경북포항시아킬레스,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,19,2024-05-30
경북포항시아티스트,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-08-11
경북포항시야통야합,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-08-11
경북포항시연일여자FC,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,27,2022-08-08
경북포항시영일만,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,37,2022-04-06
경북포항시오천체육회FC,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,19,2022-04-06
경북포항시오천축구클럽,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,18,2024-03-19
경북포항시유나이티드,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,81,2022-04-06
경북포항시일심클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,18,2023-03-31
경북포항시장량,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,86,2022-04-06
경북포항시종은라운드폴리,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-04
경북포항시창포축구클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,34,2022-04-06
경북포항시청FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,27,2022-05-24
경북포항시청룡,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,18,2023-03-31
경북포항시청호FC,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,44,2022-04-06
경북포항시추백야구단,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-08-11
경북포항시코주부FC,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,39,2022-04-06
경북포항시타키온스G,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-11
경북포항시포비여성축구클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,20,2022-08-08
경북포항시포항OB클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,25,2023-03-31
경북포항시포항동명FC,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,23,2024-05-17
경북포항시포항축구인클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,24,2022-08-08
경북포항시포항해경펠릭스,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-06
경북포항시표범축구클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,26,2023-03-31
경북포항시하나로FC,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,25,2022-08-08
경북포항시홍연제일,경상북도,경상북도 포항시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-05-06
경북포항시화랑,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,47,2022-04-06
경북포항시흑룡클럽,경상북도,경상북도 포항시,축구,체육동호인조직,실업(일반),혼성,46,2022-04-06
경북포항시흥해클럽,경상북도,경상북도,축구,체육동호인조직,실업(일반),혼성,25,2022-05-24
경북포항카이트보딩클럽,경상북도,경상북도 포항시남구,요트,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-07-08
경북화랑,경상북도,경상북도 경산시,국학기공,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,23,2022-08-03
경북화랑팀,경상북도,경상북도 구미시,국학기공,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,26,2023-04-03
경산JC,경상북도,경상북도 경산시,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2024-03-20
경산난타,경상북도,경상북도 경산시,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,3,2024-03-20
경산무룡합기도클럽,경상북도,경상북도 경산시,합기도,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,12,2024-05-27
경산무학,경상북도,경상북도 경산시,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2024-03-20
경산세팍,경상북도,경상북도 수성구,세팍타크로,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,7,2022-03-31
경산시게이트볼협회,경상북도,경상북도 경산시,게이트볼,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-04-29
경산시줄넘기협회,경상북도,경상북도 경산시,줄넘기,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,8,2024-03-06
경산시펜싱동호회,경상북도,경상북도 경산시,펜싱,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,5,2023-12-29
경산연정회,경상북도,경상북도 경산시,소프트테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-04-27
경산연정회,경상북도,경상북도 경산시,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,21,2020-01-29
경산월드,경상북도,경상북도 경산시,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-03-20
경산정맥회,경상북도,경상북도 경산시,소프트테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-04-27
경산중앙초등학교,경상북도,경상북도 경산시,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2023-06-27
경산하정회,경상북도,경상북도 경산시,소프트테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,11,2022-04-27
경산행복동호회,경상북도,경상북도 경산시,국학기공,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,32,2024-03-25
경상남도 볼링협회,경상남도,경상남도 양산시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2019-04-02
경상남도 씨름 동호인 (경남 씨름동호인),경상남도,경상남도 창원시,씨름,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2019-03-25
경상남도 테니스 협회,경상남도,경상남도 창원시성산구,테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,7,2022-06-21
경상남도궁도협회(대축전),경상남도,경상남도 진주시,궁도,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2023-02-27
경상남도그라운드골프협회,경상남도,경상남도 의령군,그라운드골프,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,45,2023-03-22
경상남도바둑협회,경상남도,경상남도 창원시마산합포구,바둑,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,160,2022-06-08
경상남도보디빌딩협회,경상남도,경상남도 창원시성산구,보디빌딩,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,11,2022-06-15
경상남도볼링협회,경상남도,경상남도 양산시,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,32,2022-05-20
경상남도수상스키·웨이크스포츠협회,경상남도,경상남도 창원시성산구,수상스키·웨이크스포츠,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-08-30
경상남도스쿼시연맹,경상남도,경상남도 창원시마산합포구,스쿼시,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,17,2022-03-07
경상남도우슈협회동호인팀,경상남도,경상남도 통영시,우슈,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2022-04-22
경상남도줄넘기협회,경상남도,경상남도 김해시,줄넘기,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,18,2022-08-11
경상남도파크골프협회,경상남도,경상남도 김해시,파크골프,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,37,2022-06-14
경상남도패러글라이딩협회,경상남도,경상남도 창원시의창구,패러글라이딩,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,20,2022-04-08
경상북도궁도협회(대축전),경상북도,경상북도 경주시,궁도,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-02-27
경상북도보디빌딩협회,경상북도,경상북도 전체,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2019-04-05
경상북도볼링협회,경상북도,경상북도 안동시,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,38,2022-05-26
경상북도소프트테니스협회,경상북도,경상북도 문경시,소프트테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2023-03-14
경상북도수상스키·웨이크스포츠협회,경상북도,경상북도 구미시,수상스키·웨이크스포츠,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-08-30
경상북도스쿼시연맹,경상북도,경상북도 김천시,스쿼시,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,11,2022-03-08
경상북도우슈협회동호인팀,경상북도,경상북도 구미시,우슈,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-04-22
경상북도태권도협회,경상북도,경상북도 영천시,태권도,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,22,2023-03-21
경상북도파크골프협회,경상북도,경상북도 안동시,파크골프,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,69,2022-06-03
경상북도패러글라이딩협회,경상북도,경상북도 안동시,패러글라이딩,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,26,2022-04-08
경상북도핸드볼협회,경상북도,경상북도 구미시,핸드볼,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,24,2024-03-12
경상유도아카데미,부산광역시,부산광역시 기장군,유도,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,4,2022-12-29
