동호회명,시도명,시군구명,종목명,소속그룹명,종목분류명,성별구분명,회원수,설립일자
26TTA(티티에이),전라북도,전라북도 군산시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,2020-08-13
28연합,강원도,강원도 철원군,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,1,2024-03-22
2H+3Y,경기도,경기도 김포시,스키,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-02-08
2X,서울특별시,서울특별시 용산구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,2020-11-24
2ndWind,서울특별시,서울특별시 강서구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2022-05-10
2x,서울특별시,서울특별시 용산구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,15,2024-01-25
2동탄JMC줄넘기,경기도,경기도 화성시,줄넘기,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,16,2024-03-05
300,전라북도,전라북도 남원시,볼링,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,7,2022-06-24
3080 3 Cushion Billiards Team,경기도,경기도 평택시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,11,2024-03-22
32당친,경기도,경기도 의정부시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,1,2024-04-25
333SC,경기도,경기도 부천시오정구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,11,2024-03-22
36173,경기도,경기도 과천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,10,2021-06-25
36173,경기도,경기도 안양시동안구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,15,2022-04-07
365클럽,대구광역시,대구광역시 수성구,배드민턴,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-04-06
369(A),제주특별자치도,제주특별자치도 서귀포시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,16,2024-04-29
369(D),제주특별자치도,제주특별자치도 서귀포시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,15,2024-04-30
3POINT,강원도,강원도 원주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,50,2020-01-02
3S,대전광역시,대전광역시 서구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,17,2024-03-22
3point,경기도,경기도 오산시,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,17,2024-01-22
4060,경기도,경기도 안산시상록구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2022-08-22
48H,경기도,경기도 군포시,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2023-08-24
4TP,서울특별시,서울특별시 서초구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-03-17
4Tip,전라북도,전라북도 전주시완산구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,22,2024-03-22
4WD족구단,경상남도,경상남도 김해시,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2024-03-20
4번타자베이스볼SC,대구광역시,대구광역시 중구,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-06-09
4번타자베이스볼SC,대구광역시,대구광역시 중구,야구소프트볼(야구),체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,9,2024-03-20
