전시실명,전시명,전시시작일자,전시종료일자,전시상태,장소명,주관기관명,작가명,작품명,관람시간,관람정보,전자책URL,전자책명,전시이미지URL,전시이미지명,전시영문명,전시영문내용
2관,뒤뷔페 그리고 빌레글레,2022-10-01,2023-02-05,종료,소마미술관 2관,"국민체육진흥공단/소마미술관, 뒤뷔페재단, 갤러리발로아, 우주스타","장 뒤뷔페, 자크 빌레글레",우를루프(Hourloupe) 시리즈 등 장 뒤뷔페의  대표작 67점 및 자크 빌레글레 작품 30여점,10:00~19:00(입장마감 18:30) / 휴관일 없음,": 성인(만19~64세) 20,000원, 초중고생 17,000원, 유아(36개월 이상) 14,000원(10명이상): 10% 할인: 장애인(동반 1인), 국가유공자, 만65세 이상 50% 할인 문화가 있는날(마지막주 수요일) : 50% 할인(연장시간만 할인적용)",,,/manage/upload_files/display/2022/12/27/f8a00f4c-dfb3-4f3a-bd9c-e655282e4be4.jpg,뒤뷔페전(포스터 이미지_날짜수정).jpg,Dubuffet-Villegle,
2관,푸룻푸룻뮤지엄: APPLE IN MY EYES,2020-07-24,2021-03-14,종료,소마미술관 2관,,,"과일을 소재로 건강한 신체, 정서적인 힐링을 형상화한 회화, 미디어작품, 설치미술 등 40여 점",10:00~19:00 (입장마감 18:00) / 매주 월요일 휴관 [3/1(월)은 정상운영],"성인 15,000원 / 청소년 13,000원 / 어린이(36개월~만12세) 11,000원2,000원 할인무료(36개월 미만) / 군, 경, 장애인, 보훈, 65세이상 7,500원",,,/manage/upload_files/display/2021/02/10/7baf316f-0886-4cf2-be7f-ee2c72153ca4.jpg,[공식]푸룻푸룻뮤지엄피크닉(포스터).jpg,Fruit fruit museum : Apple in my eyes,
2관,당신의 안녕_Dead Point and Second Wind,2021-04-09,2021-10-10,종료,소마미술관 2관 1~2전시실,국민체육진흥공단 소마미술관,"강경구, 김병관, 김원근, 김은숙, 림배지희, 이민혁, GR1, 지희킴, 하태범, 한 받 등 10명","회화, 드로잉 및 설치작품 80여점",10:00~18:00매주 월요일 휴관,"성인(만25~63세) 3,000원, 청소년(만13~24세) 2,000원, 어린이(만7~12세) 1,000원성인 1,500원, 청소년 1,000원, 어린이 500원만 6세이하, 만65세 이상, 장애인, 국가유공자대학생, 예술인패스 소지자는 청소년 요금 적용통합권(1,2관 관람) 이용 시 : 성인 4,000원, 청소년 3,000원, 어린이 1,000원  ※ 단체 50%할인 적용",,,/manage/upload_files/display/2021/07/19/3bf551ae-6e81-437a-b306-eec4f1bc3b62.jpg,당신의안녕 홈페이지(0324).jpg,Dead Point and Second Wind,
2관,스포츠x아트 스테이션,2021-12-21,2022-02-27,종료,소마미술관2관 1~3전시실,국민체육진흥공단 소마미술관,"변대용, 안성석, 윤상윤, 이연숙, 정형대, 조민서, 지희킴","평면, 입체 등",10:00~18:00 (17:30 입장마감),"성인(만25~64세) 3,000원, 청소년(만13~24세)2,000원, 어린이(만7~12세) 1,000원성인 1,500원, 청소년 1,000원, 어린이 500원만6세이하, 만65세 이상, 장애인, 국가유공자대학생, 예술인패스 소지자는 청소년 요금 적용통합권(1,2관 관람)이용 시 : 성인 4,000원, 청소년 3,000원, 어린이 1,000원 ※단체 50%할인 적용",,,/manage/upload_files/display/2021/12/13/761fa028-0037-43cc-ac54-d51e56b1fdb6.jpg,스포츠아트 포스터.jpg,SPORTS x ART STATION,
2관,드로잉 페어링 : 감각의 연결,2024-04-19,2024-08-25,현재,소마미술관 2관,국민체육진흥공단/소마미술관,"김진, 김서울, 믹스앤픽스, 박미례, 박제성, 서찬석, 신경철, 아트블랑켓, 차승언, 프로젝트그룹 옆(Yup)","회화, 드로잉, 입체 영상, 설치, 판화 60여점 & 관객참여형 프로그램",10:00~18:00(17:30 입장마감),"성인(만25-64세) 5,000원, 청소년(만13-24세) 4,000원, 어린이(만7-12세) 3,000원성인(만25-64세) 2,500원, 청소년(만13-24세) 2,000원, 어린이(만7-12세) 1,500원만6세이하, 만65세이상, 장애인, 국가유공자에술인패스 소지자, 군인(하사 이하), 대학생(학생증, 국제학생증(ISIC)소지자) : 청소년요금 적용강동송파 지역 주민 할인 (티켓당 1,000원 할인)",,,/manage/upload_files/display/2024/03/27/7cc7ee49-235d-44ac-b0c6-200d0e61e42d.jpg,[포스터]2관 드로잉체험전.jpg,Drawing Pairing : Connecting the Senses,
MOVE SOMA,MOVE SOMA 3: Neverland_9개의 소우주,2022-11-11,2023-02-28,종료,온라인미술관,국민체육진흥공단 소마미술관,"문신(한국), 세자르 발다치니(프랑스), 마리아 수비라치(스페인), 루이스 부르주아(미국), 이우환(한국), 조지리키(미국), 마우로 스타치올리(이탈리아), 데니스 오펜하임(미국), 라파엘 소토(베네수엘라)","올림픽공원 조각작품, (총 9명 작가의 작품 9점)",,,,,/manage/upload_files/display/2023/01/25/bc71b177-a54e-4f01-b6a8-fba3b2bc9fa3.png,무브소마(날짜변경).png,MOVE SOMA 3,
MOVE SOMA,MOVE SOMA 2_메타 파크,2021-11-29,2022-03-31,종료,온라인미술관,국민체육진흥공단 소마미술관,,"드로잉, 사진, 조각 등 50여점",,,,,/manage/upload_files/display/2022/02/28/3faf3875-9719-40b0-b236-a9f389918eb0.png,메타파크 전시포스터.png,MOVE SOMA 2, MOVE SOMA 2_메타파크 전시 바로가기= https://soma.kspo.or.kr/online/art/plan/88
,2022 SOMA 공공미술프로젝트,2022-10-17,2023-05-31,종료,"올림픽공원 일대(물의뜰, 대초원, 조각의 숲)",국민체육진흥공단/소마미술관,"스카이하모니, 히든캠프, 홀리데이",설치작품,,무료관람,,,/manage/upload_files/display/2022/10/12/acdb4b02-218c-46b0-8cde-b4a465a10d43.jpg,(포스터)공공미술 프로젝트.jpg,2022 SOMA,
,아웃도어 아트_코로나19를 대하는 우리의 자세,2021-03-23,2021-12-31,종료,미술관 커피숍 주변 야외,국민체육진흥공단 소마미술관,"곽남신, 김태호, 김선우",설치작품 3점,,무료,,,/manage/upload_files/display/2021/09/23/38e6656d-7220-4774-b24d-c76ba1799809.jpg,아웃도어 아트 포스터 수정_0409.jpg,Outdoor Art,
,소마미술관 소장품전,2020-01-02,2020-02-24,종료,"소마미술관 2관 3,4전시실",국민체육진흥공단 / 소마미술관,,소마미술관 소장품,10:00~18:00(입장마감 17:00)매주 월요일 휴관소마미술관은 코로나바이러스 감염증-19 예방조치를 위하여 2월 24일(월)부터 별도 안내 시까지 잠정 휴관하오니 관람객 여러분의 협조와 양해 바랍니다.,무료관람,,,/manage/upload_files/display/2019/12/30/96ed9f7f-375c-41cd-9920-59b949958905.jpg,1230-6.JPG,SOMA Collection Permanent Exhibition,
